pr_id, title, body, date_published
377,Mayor Emanuel Statement on Chicago Riverwalk| Chinatown Branch Library Receiving Architizer A+ Awards,Mayor Rahm Emanuel issued the following statement in response to the Chicago Riverwalk and the Chinatown Branch of the Chicago Public Library receiving recognition from the Architizer A+ Awards. The Chicago Riverwalk was recognized in the Landscape & Planning-Public Park category| and the Chinatown Branch Library was recognized in the Institutional-Libraries category. The Architizer A+ Awards is the largest awards program focused on promoting and celebrating the year's best architecture and products.,April 14| 2017
378,Mayor Emanuel Announces Retrofit Chicago Energy Challenge Hits 50 Million Square Feet,Mayor Rahm Emanuel today announced that the Retrofit Chicago Energy Challenge has now exceeded 50 million square feet with 14 additional buildings having joined the Challenge since July 2016. One of the largest voluntary energy efficiency programs in the country| the program now boasts 76 buildings and 51.3 million square feet participating. “From Rogers Park to Trumbull Park big buildings around the City are showing they can work together to reduce emissions| save money and put people to work|” Mayor Emanuel said. “The 76 buildings participating send a clear signal around the country| especially Washington| that Chicago will continue to lead the way in sustainability.” The new participants include six affordable housing properties owned by the Chicago Housing Authority and one new house of worship| reflecting the widening scope of the program. One-half the Challenge’s new participants| and over one-quarter of participants in total| sit outside the Central Business District. Through 2015| Chicago Energy Challenge participants have saved 90 million kilowatt-hours per year| representing 70|000 metric tons in avoided greenhouse gas emissions - equivalent to removing 14|000 cars from the road. “We are proud to partner with Retrofit Chicago to bring energy efficiency best practices to buildings throughout all of Chicago’s neighborhoods|” said Katie Kaluzny| Associate Director of the U.S. Green Building Council – Illinois Chapter. “We look forward to continued partnerships with Mayor Emanuel| the Chicago Housing Authority and others within the challenge to provide volunteer mentors and educational programming to help everyone reach their energy efficiency goals in the coming years.” The efforts of the Retrofit Chicago Energy Challenged have been bolstered by The Chicago Energy Benchmarking ordinance| which increases awareness and transparency of energy use in large buildings. Together| these properties have achieved estimated energy savings of $17.6 million per year. The next compliance period ends on June 1| 2017. “MB Real Estate is a proud supporter of Mayor Emanuel’s Retrofit Chicago Energy Challenge|” said Suzanne Hendrick| Senior Vice President and Director of Asset Management for MB Real Estate. “We have seven properties participating in the Energy Challenge with 333 North Michigan and 30 West Monroe recently reaching the 20% energy savings milestone. One North LaSalle| 55 West Wacker| and The Chicago Bar Association have recently committed to The Challenge and look forward to a successful 2017. In keeping with the Mayor’s goal of making Chicago the most affordable| competitive and sustainable city of the 21st century| we strive to have all qualified buildings join the Challenge and continue to promote energy efficiency.” On Sunday| Mayor Emanuel announced the City| addition to Chicago Public Schools| Chicago Park District| Chicago Housing Authority| and City Colleges of Chicago were committing to move their buildings’ electricity use to 100 percent renewable energy by 2025. When implemented| Chicago will be the largest major city in the country to have a 100 percent renewable energy supply for its public buildings. Last week| the U.S. Environmental Protection Agency announced the City of Chicago earned a 2017 ENERGY STAR Partner of the Year Award. It is given annually to honor organizations that have made outstanding contributions to protecting the environment through energy efficiency. And last month the Mayor announced that the Smart Lighting Project will start on the South and West Sides this summer.,April 14| 2017
379,Mayor Emanuel Demands Answers from U.S. Steel| Touts Importance of EPA Following Release of Hexavalent Chromium into Lake Michigan Tributary in Indiana,Mayor Rahm Emanuel released the following statement after state and federal officials notified the City of Chicago’s Department of Water Management (DWM) that U.S. Steel Corporation released hexavalent chromium (Cr6+) into Burns Waterway| a Lake Michigan tributary| located near their facility in Portage| Indiana on Tuesday| April 11.,April 13| 2017
380,Mayor Emanuel Reaffirms City of Chicago's Ban on Travel to North Carolina Due to Discriminatory Law,Mayor Rahm Emanuel today reaffirmed the City of Chicago’s commitment to preventing discrimination against any and all groups by announcing that a policy barring travel to North Carolina will remain intact| despite recent action by the state to amend its bathroom policy. Just over a year ago| Mayor Emanuel issued the original ban on non-essential travel to North Carolina to renounce the discriminatory impact that the state’s bathroom policy placed against transgender individuals. While the state recently adapted the original bill barring transgender individuals from using the bathrooms consistent with how they identify| this measure does not go far enough in protecting the rights of the broader LGBTQ community. As a result| a new resolution will be brought forth at the monthly City Council meeting next week to affirm that the current restriction on travel to North Carolina for city business remains in place. “As a welcoming city for all| we are clear on our values of tolerance and inclusion| and we won’t stand by idly when discriminatory policies threaten the rights of any single group or community|” said Mayor Emanuel. “Until North Carolina acknowledges the rights of the LGBTQ community and treats all individuals fairly| the City of Chicago will be taking our business elsewhere| and we encourage others to do the same.” Mayor Emanuel doubled down on the City’s original 2016 ban of non-essential travel to North Carolina because the state's recent actions to amend its bathroom policy do not explicitly account for the rights of the broader LGBTQ community. Specifically| recent measures prevent local governments and municipalities in the state from passing their own local anti-discrimination laws and replace HB2's discriminatory| anti-transgender bathroom regulations with new regulations that continue to make it difficult for transgender people to access restrooms consistent with their gender identity.  “Today’s pledge by Mayor Emanuel to uphold the travel ban to North Carolina demonstrates that Chicago remains committed to protecting all groups from discrimination|” said Mona Noriega| Chair and Commissioner of the Commission on Human Relations. “We have made so much progress toward improving inclusion of LGBTQ individuals in recent years| and this action makes clear that Chicago stands up for the rights of all individuals and against discrimination in any form.” Last year| the administration took swift action in response to the passage of a North Carolina law which prohibited local governments from passing laws to protect members of the LGBTQ community| directing City department heads to restrict any City-funded or other travel by an employee representing the City of Chicago to the State of North Carolina. Since then| Chicago has ceased authorizing new travel to the state in conducting city business| except for in rare instances of contractual agreements and those required to enforce Chicago law. “Today’s commitment by Mayor Emanuel shows that Chicago will not tolerate discrimination|” said 44th Ward Alderman and LGBT Caucus chair| Tom Tunney. “While it’s unfortunate that discriminatory practices are being upheld by the State of North Carolina| the City Council stands with people regardless of sexuality or gender identity| and is steadfastly committed to ensuring Chicago remains a haven for all people.” This is just the latest action taken by the Mayor to combat discrimination against LGBTQ and transgender individuals. Since 2011| a series of policies have been implemented to secure the overall inclusion and rights of the LGBTQ community and to prevent discrimination throughout the city of Chicago. These include the city’s own bathroom protection policy and landmark transgender health care reforms.,April 13| 2017
381,Chicago Named Among World's Top Tech Hubs for Financial Technology,Mayor Rahm Emanuel today announced Chicago has been named among the top five hubs for financial technology| also known as FinTech| in a report published by Deloitte. The report titled| “Connecting Global FinTech: Interim Hub Review 2017|” analyzes 44 different cities. Chicago is the highest ranked new entry in the report| just ahead of Hong Kong and following New York| Silicon Valley| London and Singapore.,April 12| 2017
382,Mayor Emanuel and CME Group Launch New Scholarship for Star Scholars to Continue at Four-Year Institutions,Mayor Rahm Emanuel and CME Group| the world’s leading and most diverse derivatives marketplace| today announced a new scholarship award to support more Chicago Star Scholars in continuing their college education once they obtain an associate degree from the City Colleges of Chicago (CCC). Beginning this spring| CME Group will select 25 students to receive scholarships that will support them in furthering their college career with a bachelor’s degree in math| computer science| finance or economics at one of the City’s 15 Star Partner universities this fall. “Today| in the City of Chicago| high school graduation is no longer the last stop on a student’s educational journey|” said Mayor Emanuel. “I want to thank CME Group for their continued commitment to ensure that more of Chicago’s hard working students| regardless of financial means| can access college degrees and the career opportunities that come with it.” To ensure more students from all economic backgrounds can access a viable pathway to college| Mayor Emanuel created the Star Scholarship in 2014 to reward hard-working Chicago Public Schools (CPS) graduates with an opportunity to pursue a degree or certificate at City Colleges at no cost. Since that time| the program has grown to include partnerships with 15 Chicagoland colleges and universities to enable Star Scholars to continue their college education at a four-year university. CME Group joins the movement to ensure Star Scholars can continue with four-year opportunities this spring by providing 25 two-year scholarships valued at $5|000. This transfer scholarship opportunity is available to Chicago STAR Scholar graduates planning to continue their studies at one of the 15 Chicago Star Partnership colleges or universities to earn a four-year degree in a STEM-related pathway| which are in high demand by employers today. “We are proud to support the Mayor’s Chicago Star Scholarship and the opportunities it provides for our city’s hardworking and high-achieving CPS graduates|” said CME Group Chairman and Chief Executive Officer Terry Duffy. “The program is testament to the strength of not only our city’s schools| but our talented students—and investing to enable them to continue their education today will only increase the vitality of our future business community tomorrow.” Working with CCC| CME Group will select 25 students this spring from a pool of 100 qualified candidates| supporting them in a plan that will ensure a successful transition to four-year programs this fall. A select number of scholars will also be chosen to receive a summer internship at CME Group member clearing firms. To be eligible for the CME Group Award for Star Scholars Achievement| students must graduate this May with a cumulative GPA of 3.0 or above and a major in math| computer science/information technology| finance or economics.  Now in its second year| the Chicago Star Scholarship program at CCC is helping more than 2|000 Chicago Public School (CPS) graduates attend college tuition-free this fall| a 20 percent increase in new scholars this year over last year. STAR Scholars are diverse| representing more than 100 CPS high schools. Star Scholars have shown higher academic performances| including significantly higher GPAs| suggesting that students enrolled in this program are highly likely to persist in their coursework toward a degree.,April 12| 2017
383,Mayor Rahm Emanuel Announces Open Applications for ThinkChicago: Lollapalooza 2017,Mayor Rahm Emanuel today announced ThinkChicago: Lollapalooza is now accepting applications for the fifth annual installment of the city’s premier program connecting rising talent with Chicago’s tech scene. Mayor Emanuel| World Business Chicago| the University of Illinois System and Lollapalooza will welcome 200 students from the nation’s top universities to Chicago for an opportunity to visit business headquarters and innovation hubs| directly engage with local tech entrepreneurs and meet the leaders of some of today’s most innovative companies. Admitted students will also receive a four-day pass to attend the Lollapalooza music festival.,April 12| 2017
384,Chicago Named Top Major City for Foreign Direct Investment Strategy,Mayor Rahm Emanuel and World Business Chicago (WBC) today announced that| for the first time| Chicago leads all major cities in the Americas for Foreign Direct Investment (FDI) Strategy according to fDi Magazine’s The American Cities of the Future 2017/18. The bi-annual rankings feature the most promising inward investment locations in the Americas.,April 11| 2017
385,Statement from Mayor Emanuel on Ford Company's Decision to Produce Hybrid Police Vehicles in Chicago,“The City of Chicago is a national leader in combatting climate change and creating a cleaner| more sustainable future. We are proud that the Ford Motor Company has decided to build its new hybrid police vehicles here in Chicago. The new cars coming out of Chicago will cut carbon emissions and save resources for cities and towns across the country| while contributing to our local economy and representing another innovative export from the nation’s global transportation hub.”,April 11| 2017
386,Mayor Emanuel Announces Record Attendance at NCAA Frozen Four Collegiate Hockey Championship,Over the past three days the University of Denver| Notre Dame| Minnesota-Duluth and Harvard put on an unforgettable show for a record number of Chicagoans and fans of college hockey. The series of three games set a new record for attendance at the site of the Frozen Four Championship. "Last week's NCAA Frozen Four hockey tournament shattered previous attendance records and brought fans from around the world to the city of Chicago to root for their favorite teams and witness world-class hockey|" Mayor Rahm Emanuel said. "The Frozen Four was the latest event to draw visitors from across the globe to Chicago as we continue to set tourism records and welcome more travelers than ever to the greatest city in the world.",April 9| 2017
387,Mayor Emanuel Announces City Buildings to be Powered by 100 Percent Renewable Energy by 2025,Mayor Rahm Emanuel| Chicago Public Schools (CPS) CEO Forest Claypool| Chicago Park District CEO Mike Kelly| Chicago Housing Authority (CHA) Eugene Jones| Jr.| Fleet and Facility Management Commissioner David Reynolds| and City Colleges of Chicago (CCC) leadership today announced their commitment to move their buildings’ electricity use to 100 percent renewable energy by 2025. When implemented| Chicago will be the largest major city in the country to have a 100 percent renewable energy supply for its public buildings.,April 9| 2017
388,Mayor Emanuel| Chicago Public Library Announce New Public and Private Investments in YOUMedia Teen Program,Mayor Rahm Emanuel| Chicago Public Library (CPL) Commissioner Brian Bannon| the Chicago Public Library Foundation and BMO Harris Bank CEO Dave Casper today announced significant investments in the Library’s YOUmedia program for teens. Private support| highlighted by a $1 million gift over three years from BMO Harris Bank to the Chicago Public Library Foundation| as well as generous support from Allstate| will specifically support YOUmedia programming. Due to the popular demand and heavy utilization of YOUmedia| which currently operates teen digital media labs in 12 libraries| the City of Chicago plans to expand YOUmedia to 17 library locations by 2018.,April 8| 2017
389,Mayor Emanuel Tours Albany Park Storm Water Diversion Project Site,Mayor Rahm Emanuel joined Alderman Margaret Laurino and Chicago Department of Transportation (CDOT) officials today to view the progress being made in the Albany Park storm water diversion project| which| when complete| will help alleviate the threat of catastrophic flooding in the area. The officials today witnessed the controlled blasting that is part of the project's second phase. "In the last six years| we've had two 100-year storms that brought flooding to the Albany Park area. Residents should not have to live with a looming threat of life-disrupting flooding| and this project will help protect residents against the threat of flooding in the area|” said Mayor Emanuel “Making these types of investments in our infrastructure is critical to the future success of our city. It represents an ongoing commitment to improving our neighborhoods and to improving the quality of life for our residents.” Phase Two of the storm diversion tunnel project officially began on March 21 with controlled blasting at the flood intake site| located at Springfield Avenue| just north of West Foster Avenue. The blasting will connect the flood intake shaft with a tunnel 150 feet below ground needed to divert storm water about 1.4 miles from the North Branch of the Chicago River to the North Shore Channel. “The progress we are making on this project means that residents will soon be able to look forward to spring rains without fearing its floods|" said Alderman Laurino. "Community residents have been as much a part of this process as anyone| and I want to thank them for their ongoing patience and support.",April 7| 2017
390,Mayor Emanuel Breaks Ground on Affordable Senior Housing Community,Mayor Rahm Emanuel today joined Alderman Walter Burnett| representatives from developer McCrory Senior Apartments LLC| and local residents to celebrate the groundbreaking for a new 62-unit affordable apartment building for seniors at 1637-59 W. Washington Blvd. “The McCrory Senior Apartments are a win-win – they will turn a vacant lot into 62 affordable new homes while creating new jobs on the Near West Side of Chicago|” Mayor Emanuel said. “No matter what your income is or what neighborhood you live in| if you call Chicago home you should have a range of housing options to choose from.” The $17.4 million McCrory Senior Apartments will include a mix of one- and two-bedroom units as well as a community room| fitness center| theater space| offices| laundry facilities and patio. All of the units in the five-story building will be available to seniors aged 62 years and older earning up to 60 percent of area median income| or a maximum of $36|960 for a two-person household. Being developed in partnership with Brinshore Development and the First Baptist Congregational Church (FBCC)| the project is part of the City’s “Five-Year Housing Plan” to commit $1.3 billion in public and private funds to build| rehabilitate or preserve 41|000 units of affordable housing by the end of 2018 City financial support includes up to $4.1 million in Tax Increment Financing (TIF) assistance coordinated by the Department of Planning and Development. Additionally| a quarter acre of City-owned land valued at $697|000 was provided for the project for $1. Project funding will also include $13 million in Low Income Housing Tax Credits and donations tax credit equity from the Illinois Housing Development Authority (IHDA) and $600|000 from the Federal Home Loan Bank. The complex is named after FBCC’s founding pastor the Rev. Henry McCrory.,April 7| 2017
391,Statement from Mayor Emanuel on Passage of the Gun Bill in State Senate,If we are going to achieve the level of safety every resident deserves| we need a justice system that actually holds repeat gun offenders accountable for the crimes they commit and the violence they drive. I want to thank Senator Tony Munoz and Senator Kwame Raoul| along with the support of the State Senate| for their leadership in ensuring repeat gun offenders get sentences that match the severity of their crimes. Combined with social supports like mentoring| investments in neighborhoods and new predictive policing strategies| this bill would help us continue to improve public safety in every corner of the city.,April 6| 2017
392,Mayor Emanuel and NCAA Open Frozen Four Hockey Championship Series,,April 6| 2017
393,Chicago Earns EPA/DOE Award for Energy Efficiency,CHICAGO – Citing its status as a leading city for accelerating and promoting energy efficiency strategies through local programs and policies| the City of Chicago has earned a 2017 ENERGY STAR Partner of the Year Award. The honor is awarded annually by the U.S. Environmental Protection Agency (EPA) and the Department of Energy (DOE) to honor organizations that have made outstanding contributions to protecting the environment through energy efficiency.,April 6| 2017
394,Mayor Emanuel Announces Millennium Park is Now the #1 Attraction in the Midwest and Among the Top 10 Most-Visited Sites in the U.S.,,April 6| 2017
395,Mayor Emanuel Introduces Groundbreaking Initiative To Encourage Post-Secondary Planning And Success Beyond High School,Mayor Rahm Emanuel joined Chicago Public Schools (CPS) Chief Education Officer Janice Jackson today to announce a new graduation initiative designed to guide postsecondary success for students of all levels by requiring that they develop plans for life after graduation. Starting with current freshmen - the Class of 2020 - students must have a postsecondary plan in hand in order to graduate. Pending approval by the Board of Education| CPS will become the first large urban district in the country to require students to develop a postsecondary plan in order to receive a diploma.,April 5| 2017
396,Statement From Mayor Rahm Emanuel| CPS CEO Forrest Claypool| and CPS Chief Education Officer Janice Jackson,"Once again| facts don't matter to this administration. If they cared about facts and if they cared about the truth| they would know Chicago's students are outperforming their peers across the nation. Last year Chicago's students were among the nation's leaders in fourth grade reading gains and eighth grade math gains. Chicago leads all urban school districts for the increase in our graduation rate. Our students have achieved record highs for ACT scores and college acceptance. In fact| Chicago is the large urban system that grows its kids the most anywhere| according to an analysis done by Sean Reardon at Stanford University. That may not match what this administration thinks about our nation's public schools| but it's the truth.",April 4| 2017
397,Statement From Mayor Rahm Emanuel And Superintendent Eddie Johnson On Public Safety Reform,"We can only speak for our intentions| we can't speak for the federal government's. The reforms we have made over the past year are built on the principles of partnership and trust between our residents and our officers| and they laid the foundation for the 2017 reform plan we outlined just a few weeks ago. Through these ongoing reforms we will ensure our officers have the training and support they need to do a tough job well| we will strengthen the relationship with our residents| and we will make our city a stronger| safer place.  Reform is in our self-interest and that is why Chicago has been| is| and always will be committed to reform.",April 3| 2017
398,Mayor Emanuel| 1871| and Chicago Public Schools Announce New Entrepreneur Seminar for Students at Dyett High School,Mayor Rahm Emanuel today joined 1871 CEO Howard Tullman| and Chicago Public Schools (CPS) Chief Education Officer Dr. Janice Jackson at Walter H. Dyett High School for the Arts in Washington Park to announce an innovative new program that will provide high school students with lessons on entrepreneurship in technology by prominent local entrepreneurs. This new program| a joint initiative of 1871 and CPS| will pilot at Dyett High School this spring| providing students an 8-week seminar on what it takes to become an entrepreneur in the 21st century.,April 3| 2017
399,Statement From Mayor Emanuel On Lonnie Brooks,Lonnie Brooks was a Chicago blues legend with a towering talent and soulful style that won him legions of fans across the country and around the world. His celebrated career inspired generations of music lovers| garnered numerous awards and brought him from the clubs of Chicago's west side to the concert halls of Europe and beyond. Amy and my thoughts and prayers are with Lonnie Brooks' family| friends and fans who are mourning his loss and celebrating his remarkable life.,April 2| 2017
400,Mayor Emanuel| Chicago Park District Announce "Save Chicago's Treasures" Initiative,Mayor Rahm Emanuel| Chicago Park District Superintendent Michael P. Kelly| Alderman Emma Mitts (37) and elected state officials today announced $26 million in improvements to 20 aging Park District facilities as part of the new “Save Chicago’s Treasures” initiative.,April 2| 2017
401,Mayor Emanuel Announces Washington-Wabash CTA Station Project Reaches A Milestone With Re-Opening Of Section Of Wabash From Washington Street To Madison,Mayor Rahm Emanuel and the Chicago Department of Transportation (CDOT) announced today that the Washington-Wabash CTA Station project has reached a major milestone with the re-opening of Wabash Avenue| which had been closed to traffic from Washington to Madison Streets to allow for construction staging.,March 31| 2017
402,Mayor Emanuel Breaks Ground On Fulton Market Development That Will Support Businesses That Work With McDonald's,Mayor Rahm Emanuel today joined Ald. Walter Burnett and representatives from Sterling Bay to break ground on a 12-story building that will support affiliates of McDonald’s Corp. and other companies. The $47.2 million in Fulton Market project will house 960 employees when it’s completed in late 2018 and fully leased. The building will also contribute approximately $2 million to the neighborhood opportunity fund.,March 31| 2017
403,Mayor Emanuel| City Colleges of Chicago and Goldman Sachs Announce Graduation of 17th Class of 10|000 Small Businesses Program,Mayor Rahm Emanuel today joined Goldman Sachs and leadership from Harold Washington College to celebrate the 17th class of the Goldman Sachs 10|000 Small Businesses (10KSB) program at the City Colleges of Chicago. During the ceremony the company reaffirmed its commitment to supporting the program that provides crucial education| business support services and access to capital to small businesses across Chicago beyond its initial five-year timeline.,March 30| 2017
404,Statement From Mayor Emanuel On The Joffrey Ballet's First New York Performances Since 1995,“More than two decades ago the Joffrey Ballet moved from New York City to Chicago| where they not only found a new home but have flourished and grown into one of the premier dance companies anywhere in the world. The Joffrey’s first return to their New York roots in 22 years is an exciting opportunity to share one of Chicago’s cultural jewels with new audiences and inspire fans young and old with their cutting-edge| innovative interpretation of a classical art form.”,March 29| 2017
405,Statement From Mayor Emanuel On Federal Executive Order Rolling Back Environmental Protections,"By denying the reality of climate change and falsely suggesting environmental protections are anti-business| this executive order represents backwards thinking from days gone by. Chicago has shown you can grow the economy and create jobs while improving our environment. The administration's short-sighted move ignores the 86|000 clean energy jobs in the Chicago region alone and the millions of dollars being put back into the pockets of businesses and residents through renewable energy and energy efficiency. We will continue to work with environmental groups| community organizations| and the business community to reduce our environmental impact while creating 21st century jobs. We will also work with other cities around the world to take on the economic and environmental opportunities being left behind by this administration.",March 28| 2017
406,New Streetlights Headed To The South And West Sides As City Selects Vendor For Chicago Smart Lighting Project,Mayor Rahm Emanuel| the Chicago Department of Transportation (CDOT) and the Chicago Infrastructure Trust (CIT) today announced the selection of the vendor team that will modernize Chicago’s streetlight system| replacing 85 percent of Chicago’s public lights with reliable and high-quality fixtures. Once approved by the City Council| installation of the new streetlight fixtures would begin this summer in south and west side communities. In total| the Chicago Smart Lighting Project will replace 270|000 of Chicago’s light fixtures and add a management system that will give the city a state-of-the-art smart lighting grid.,March 28| 2017
407,Mayor Emanuel Introduces Ordinance To Crack Down On Illegal Party Buses,Mayor Rahm Emanuel today announced an ordinance that cracks down on illegal party buses that operate in the city and increase safety requirements for licensed bus operators. While there are many reputable party bus operators| over the past year illegal and unlicensed party buses have seen violence among patrons - particularly at bar time. The ordinance| which will be introduced this week| will help police officers more easily identify unlicensed party buses so they can be stopped as just one way to continue tackling violence. It also includes new safety measures for all operators.,March 27| 2017
408,Statement From Mayor Rahm Emanuel On The Blues Experience Museum,“Chicago is the birthplace of urban blues and the perfect home for the new Blues Experience museum. Every year| the iconic Chicago Blues Festival celebrates our rich cultural legacy and attracts hundreds of thousands of visitors to hear the finest blues acts in the world. The museum will pay further tribute to the home-grown genre that’s given life to legends like Buddy Guy| Muddy Waters| Howlin’ Wolf| Willie Dixon| and so many more. Chicago is proud to host the Blues Experience that will help visitors from around the world connect with one of America’s greatest art forms.”,March 27| 2017
409,Mayor Rahm Emanuel| Chicago Park District Announce Improvements To Tennis Courts And Track At Riis Park,Mayor Rahm Emanuel| Chicago Park District Superintendent Michael P. Kelly and Alderman Ariel Reboyras (30th) today announced plans for significant improvements to the tennis courts and track at Riis Park| 6100 West Fullerton Avenue. Upgrades will include a rehabilitation of the tennis courts and replacing the current cinder track with a new asphalt running track.,March 25| 2017
410,Mayor Emanuel| Alderman Thompson Announce Streetscape Plan To Modernize Morgan Street Retail Corridor,Mayor Rahm Emanuel| Alderman Patrick D. Thompson (11th Ward) and the Chicago Department of Transportation (CDOT) today announced a streetscape improvement project that will support local businesses by upgrading a four-block stretch of Morgan Street from 31st to 35th Streets. The project will bring new lighting| landscaping and other amenities designed to encourage retail traffic and increase pedestrian safety.,March 24| 2017
411,Statement From Adam Collins| Mayoral Spokesman| On Governor Rauner's Veto,“The governor continues to make one irresponsible and irrational decision after another| and his veto today is the latest example. This bill passed with overwhelming bipartisan support because it improves our fiscal stability for taxpayers and shores up pensions for thousands of retirees who earned them. Instead of helping secure the future of our taxpayers and middle-class retirees| the governor chose to hold them hostage - just as he has done to social service providers| schoolchildren and universities across the state. The governor's actions are harming the most vulnerable in our state| and the people of Illinois deserve better.",March 24| 2017
412,Mayor Emanuel| Mayor De Blasio| Mayor Garcetti| Mayor Kenney & Mayor Walsh Again Take Legal Action Against President Trump's Travel Ban,After filing a friend-of-the-court brief last week in the federal district court in Seattle| Chicago Mayor Rahm Emanuel| New York Mayor Bill de Blasio| Los Angeles Mayor Eric Garcetti| Philadelphia Mayor Jim Kenney and Boston Mayor Martin Walsh today announced the Cities of Chicago| New York City| Los Angeles| Philadelphia| Boston and 23 other cities and counties have again joined together to support another legal challenge to President Donald Trump’s efforts to restrict travel to the United States from six majority-Muslim nations and to suspend the refugee program.,March 24| 2017
413,Statement From Mayor Emanuel On London Attacks,The City of Chicago stands in support and solidarity with our friends in London in the wake of today’s horrific attack. Our thoughts and prayers are with the victims| their families| and the people of London on this difficult day. We stand united with those around the world who are condemning this senseless act of terror.,March 22| 2017
414,Community Policing Advisory Panel Calls on Residents for Input,The Chicago Police Department (CPD) and members of the Community Policing Advisory Panel (Panel) today announced opportunities for residents of Chicago to engage and share ideas on the future of CPD’s community policing efforts to build trust between the Department and residents they serve. The Panel will be hosting three Town Hall listening sessions and today launched a new online portal in order to receive the direct input from residents as the Department continues to renew its focus on community policing.,March 22| 2017
415,Mayor Emanuel| CTA| CRRC Sifang America Break Ground On New CTA Railcar Manufacturing Facility In Chicago,Mayor Rahm Emanuel today joined Chicago Transit Authority President Dorval R. Carter| Jr.| CRRC Sifang America| CenterPoint Properties| Jobs to Move America (JMA)| the Chicago Federation of Labor and World Business Chicago to break ground on a new $100 million facility on the Southeast Side of Chicago that will assemble the CTA’s newest rail cars| the 7000-series| and create more than 300 skilled factory and new construction jobs.,March 16| 2017
416,Mayor Emanuel Joins Five Local Universities In Announcing The Creation Of Global Entrepreneur-In-Residence Programs,Mayor Rahm Emanuel today announced the City of Chicago is working with five local universities to create Global Entrepreneur in Residence (Global EIR) programs. These programs will provide pathways to an H-1B visa for highly skilled immigrant entrepreneurs by partnering with local universities to grow their companies in Chicago. Participating universities include Columbia College; DePaul University; Illinois Institute of Technology; Loyola University and Northwestern University.,March 15| 2017
417,Statement From Mayor Emanuel On Tonight's Court Ruling Regarding The Federal Travel Ban,“The administration’s second misguided attempt at a travel ban was just as discriminatory and unconstitutional as its first failed attempt. Tonight's decision is the right one| blocking portions of an unlawful executive order that is rooted in religious discrimination and is an affront to our most fundamental American values. Yesterday I was proud to organize 25 mayors and local leaders across the country to oppose the administration’s travel ban in a case raising similar arguments| and will continue to stand up for Chicago's status as a welcoming city every single day.",March 15| 2017
418,Mayor Emanuel| Chicago Police Superintendent Johnson Celebrate Graduation of 351 Officers| Detectives and Sergeants,Mayor Rahm Emanuel today joined Chicago Police Department (CPD) Superintendent Eddie Johnson in commemorating the graduation of 351 officers in a ceremony at Arie Crown Theater at McCormick Place| the largest graduation ceremony since 2011. The graduating class includes 80 new police officers and celebrates the promotion of 131 Detectives and 140 Sergeants.,March 15| 2017
419,Mayor Emanuel Encourages Youth To Apply To One Summer Chicago 2017,Mayor Rahm Emanuel today announced that his One Summer Chicago program will return to provide over 30|000 job and internship opportunities this summer for youth ages 14 to 24 from neighborhoods across the city. The City of Chicago is welcoming applications to the more than 30|000 job and internship opportunities available through the 2017 program by applying at www.onesummerchicago.org now and through May 15| 2017.,March 14| 2017
420,Mayor Emanuel| Mayor Garcetti| Mayor De Blasio| And Mayor Walsh Take Legal Action Against President Trump's Travel Ban,Chicago Mayor Rahm Emanuel| Los Angeles Mayor Eric Garcetti| New York City Mayor Bill de Blasio and Boston Mayor Martin Walsh today announced the Cities of Chicago| Los Angeles| New York City and Boston have filed a friend-of-the-court (amicus) brief in the federal district court in Seattle| where six States have challenged President Donald Trump’s second attempt at restricting travel into the United States from six majority-Muslim nations is being heard.,March 14| 2017
421,Statement From Mayor Emanuel On The Passing Of Carolyn Rush,“Carolyn Rush was a loving mother| a committed partner to Congressman Rush| and an uplifting voice for compassion and inclusion in the City of Chicago. Amy and I join Chicagoans throughout the city in extending our deepest condolences to Congressman Rush| the entire Rush family| and all those who are mourning her loss.”,March 13| 2017
422,Statement From Mayor Rahm Emanuel On Amy Krouse Rosenthal,Amy Krouse Rosenthal was more than a talented and prolific writer and filmmaker whose work brought warmth and joy to readers young and old. She was a personal friend| a proud Chicagoan| and a devoted mother| wife and daughter. Amy and my thoughts and prayers are with her family| friends and all those she left behind.,March 13| 2017
423,Chicago Mayor Emanuel Paris Mayor Hidalgo Host Urban Waterways Forum,Mayor Rahm Emanuel and Paris Mayor Anne Hidalgo today convened 17 mayors spanning five continents| 11 countries and who represent 44 million people for an Urban Waterways Forum in Chicago. The event| co-hosted by World Business Chicago and the Chicago Council on Global Affairs| is designed to foster an international conversation about the future of urban waterways.,March 13| 2017
424,Mayor Emanuel Chicago Department Of Planning And Development  The Metropolitan Planning Council Announce Chicago Urban River Edges Ideas Lab,Mayor Rahm Emanuel| the Chicago Department of Planning and Development (DPD) and the Metropolitan Planning Council (MPC) today announced the Chicago Urban River Edges Ideas Lab| a collaboration funded by The Richard H. Driehaus Foundation and Comcast. The Lab will engage select architectural firms with experience in designing award-winning riverfronts| parks and public spaces to develop design concepts that will lead to a unified design aesthetic for Chicago’s riverfront.,March 13| 2017
425,Mayor Emanuel Announces Some Riverwalk Vendors Open For St. Patrick's Day,After a record breaking 2016 season| Mayor Rahm Emanuel today announced some Riverwalk vendors will open on Saturday| March 11 for St. Patrick’s Day. Most vendors will operate from 8 a.m. to 5 p.m.,March 10| 2017
